METADATA|ElementEntry|AssignmentNumber|ElementName|EntryType|LegislativeDataGroupName|EffectiveStartDate|EffectiveEndDate|SourceSystemId|SourceSystemOwner|Reason
MERGE|ElementEntry|E3408010|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408010_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408210|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408210_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408316|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408316_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408364|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408364_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408508|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408508_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408511|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408511_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408523|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408523_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408544|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408544_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408570|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408570_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408617|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408617_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408694|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408694_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3537379|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3537379_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408829|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408829_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408847|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408847_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
